date,steel_price,iron_ore_price,scrap_price,freight_index,fx_rate
2022-01-01,699.2530808504523,108.4090220488183,345.4652843966364,882.0044888287172,83.34029695056506
2022-01-02,654.490793490273,135.4927247520204,337.44831294267345,966.8795706671737,83.69004965889577
2022-01-03,666.9579552263015,108.25258490227017,335.23940195885166,1046.4751176151426,84.07094182996718
2022-01-04,686.4000128131888,113.0633009608103,332.00984922050196,1026.742005688978,84.81644264279682
2022-01-05,657.6232511984554,102.12309906129961,332.9281919522441,1098.438369342209,83.84829072476205
2022-01-06,694.807913932056,102.45934955280055,349.56613805493663,1042.2117233409265,83.84460245985497
2022-01-07,693.8513522806506,115.18413470834022,340.0368480380808,910.1309164855039,84.21612327385039
2022-01-08,722.0534513591241,95.1748720554778,360.40602730308956,1032.0193192172999,81.70377470349752
2022-01-09,747.4531397881609,120.42335469649572,325.4020939733962,992.0011414559796,83.11981300316785
2022-01-10,665.0263789968692,106.86943117107475,324.1273485601477,1005.15575710982,82.52903183991324
2022-01-11,656.1907255688188,102.7048366056801,357.6477343680011,1093.2979414146712,81.92633246990096
2022-01-12,656.8463427048333,111.6666057803522,334.38844068169027,998.8700284865823,81.0883971851619
2022-01-13,624.4590468423071,86.84245179301743,339.0629556461584,1119.471916777659,82.05914591267016
2022-01-14,736.5654532653767,117.8588555414994,379.3688215121823,884.5637134126576,81.59934096066479
2022-01-15,697.5054292197397,110.56867394808705,362.99220583546077,894.2650843735994,81.69638655367608
2022-01-16,726.866287054355,95.9416803901423,347.2481941076506,1085.0099121430524,83.2922111520879
2022-01-17,705.6585266550065,99.27136930333512,334.7937559608147,1136.6390513651645,83.2448000265153
2022-01-18,692.7929162762817,114.18657861311651,334.7207213180246,999.6713593828948,83.82338956709809
2022-01-19,747.8899840358617,107.3827273971274,375.56743376094295,919.2578625340053,82.89990348725536
2022-01-20,652.7984245312234,115.02762563944819,371.9203692651923,968.0373166356441,80.74507151891228
2022-01-21,680.9549462764307,107.98965999577392,363.62340532191547,1111.1627070734298,81.34746568045986
2022-01-22,700.2515514627039,103.66964156933216,345.29502504785495,954.1260352330391,83.61079450629983
2022-01-23,688.6492455709289,111.77396570195356,357.0038053450963,874.8453390836765,84.61395692093224
2022-01-24,714.6703372994886,94.28397110764745,332.6372287779199,1063.6283005531911,83.84084650359657
2022-01-25,668.7821255679078,114.29072102834746,341.99763128499086,1104.3307935569064,81.85260550068885
2022-01-26,591.0284422617125,105.26373983052761,351.0514426705767,1007.5034110890756,83.85967449109751
2022-01-27,655.0595706077755,109.23763938320988,338.7012483560455,962.1871378323558,81.11803668296427
2022-01-28,683.8993221823939,95.29827735253087,359.35450331654636,1114.4050916100323,83.08724117759316
2022-01-29,691.4444462817548,127.89273135748422,376.0300900296563,892.8295818359579,82.98653249746026
2022-01-30,681.6419869229396,120.27908204619295,379.0595994499113,993.7342913478454,82.97788459609264
2022-01-31,671.9836421576007,116.83221087621473,327.98051321550236,1007.7291146290357,83.10567283820467
2022-02-01,703.9395759156677,105.21122143180581,339.73045336155786,890.0398886854947,82.3318322434288
2022-02-02,667.253102674529,108.18465467325088,356.8994750400381,982.8249876886205,82.37382805401263
2022-02-03,706.3889953464254,121.81743655753053,367.21334972178045,975.1259501977308,81.57885291896993
2022-02-04,685.7823996513029,109.12581987614324,356.3757304100991,1106.1883092234784,83.59438399767896
2022-02-05,676.0398546687713,120.00440785909404,372.7351702523595,1050.9902682504105,80.90328836624549
2022-02-06,631.1854779063335,110.11919792037429,370.69728026459427,939.275003733795,83.07145850429299
2022-02-07,680.8279847306286,104.80305364958433,335.3281983940069,940.1643672047899,82.13847717255715
2022-02-08,713.8967544935238,101.04547786141718,344.5869963093564,1177.7377831502558,85.32424724884422
2022-02-09,736.7799367801999,108.11462432511718,337.27020518233803,885.9090320625276,84.55675577561658
2022-02-10,742.6150626756167,117.38956368085026,353.4024887474811,818.2181422984986,83.46966488160261
2022-02-11,713.0381831119777,113.08103418634013,351.488883738598,1001.9307895248007,82.77653432011589
2022-02-12,637.2770062836676,113.34534938556628,358.3418178656218,1017.4877862464243,81.94669137254053
2022-02-13,703.2628188193574,106.66880476670423,352.5725390794624,976.4370649927714,82.72272313010008
2022-02-14,745.8757255227682,113.99898805660392,384.5794242009878,1095.8771543027667,83.57598695854973
2022-02-15,696.6617960213594,125.87577126219587,330.5928672444054,1002.9505089099802,82.78363413837253
2022-02-16,646.2201757575194,105.78931078527755,378.6704691989133,999.5523272399456,83.69380363952396
2022-02-17,675.6385527733421,106.07775012769991,387.24414791738496,1213.6891265658273,82.89843893192852
2022-02-18,760.8182558415319,103.10851965350072,344.26933956630063,1113.326136582712,83.18957263515543
2022-02-19,719.38183241924,94.51941276198964,348.6216372475583,1016.7006525004668,83.88972876427077
2022-02-20,681.0335561648493,110.53303435617698,324.94919152786605,1006.2311214423268,81.61720652035208
2022-02-21,631.3525713287597,107.25030202644723,343.5120857593638,951.4560255597111,82.71826401241316
2022-02-22,653.8815996072101,125.76089066305681,330.8779806343869,976.0444914366797,82.97412005981307
2022-02-23,739.3517791370333,113.85808341292875,324.45204613936613,1024.2184394450308,82.05216142225288
2022-02-24,663.854313182607,112.8652393905664,371.94328625992426,819.9583593400337,83.72246691091354
2022-02-25,722.7671158042276,123.8343015703524,364.64755373985975,958.6718738840268,82.91252268480535
2022-02-26,623.9562047914484,102.5245119683084,364.6479416355413,1087.447602808248,81.54719667338327
2022-02-27,584.4069699607455,107.77160356983146,367.6702802127922,1126.060631302894,83.63068194512732
2022-02-28,670.5850882357889,105.05827497120822,371.4851108623407,1011.2447294342556,84.96784338089746
2022-03-01,668.5695014111234,101.55810463600558,330.2151107642877,1096.930772982512,81.71684173780993
2022-03-02,620.4574217882673,112.53416260950345,343.4413074751414,1029.3978401568982,84.36742278607184
2022-03-03,686.02021181781,114.11008791418497,328.969825813725,877.6876042966334,80.82320841749228
2022-03-04,727.8467149411974,99.65049890071244,308.21115809803814,888.0340007002328,84.14070190995653
2022-03-05,712.6077537081603,117.91642027677466,345.4083722480322,960.3599377351792,83.54264527597013
