date,steel_price,iron_ore_price,scrap_price,freight_index,fx_rate,supplier_id,supplier_name,material_id,material_name
2022-01-01,750.0368968175771,115.61728834415794,328.4685995965521,953.196481284115,80.96061983370983,SUP003,CoreSteel,MAT101,Steel Rod
2022-01-02,648.5562567655729,124.14229973523229,351.16834692587855,1017.5931304120868,82.74730472450621,SUP004,DeltaIron,MAT102,Steel Plate
2022-01-03,742.455673425913,96.03097765385435,347.7039363512567,1061.40631414344,81.00322301269546,SUP001,AlphaSteel,MAT101,Steel Rod
2022-01-04,635.20240313008,114.08024827059255,355.82191771124525,849.1063180803887,83.70064391188309,SUP002,BetaMetals,MAT102,Steel Plate
2022-01-05,714.6059956129333,113.82210094689441,355.64261797281523,1109.5151390533126,83.43705382574764,SUP004,DeltaIron,MAT102,Steel Plate
2022-01-06,684.2922104671318,104.44437309863017,346.9112342290338,928.3716670485106,82.14912984938934,SUP003,CoreSteel,MAT104,Steel Sheet
2022-01-07,726.7994750853202,100.67264441339694,308.04365713564687,915.7476077504724,84.03130948997021,SUP002,BetaMetals,MAT101,Steel Rod
2022-01-08,670.0739730642824,103.54608806919563,319.07200488285764,1035.277852457481,82.24264732356944,SUP005,PrimeSteel,MAT104,Steel Sheet
2022-01-09,679.2900259979639,104.98551581829318,371.5247388125173,1040.8569146956775,83.43794000205583,SUP003,CoreSteel,MAT103,Steel Bar
2022-01-10,681.6551448456148,109.08055742731437,352.05884018872257,986.5488348847409,83.2438335900826,SUP001,AlphaSteel,MAT100,Steel Coil
2022-01-11,656.6486317159137,112.42971990333577,363.4927159430761,1037.5941067468802,84.26193476103313,SUP002,BetaMetals,MAT103,Steel Bar
2022-01-12,644.2919959892046,119.11261729496765,358.68394545444403,1027.8911229828614,82.52873505946985,SUP001,AlphaSteel,MAT100,Steel Coil
2022-01-13,690.5327823441047,104.19778170218682,289.1361985847695,789.048017496288,82.77185245752855,SUP004,DeltaIron,MAT101,Steel Rod
2022-01-14,685.4191075035608,105.89035719094288,327.2750726442827,996.7283701355313,83.19308632776851,SUP005,PrimeSteel,MAT104,Steel Sheet
2022-01-15,640.5235908854241,109.59870962709545,391.29776406619993,1138.0952904566748,83.47932906760649,SUP004,DeltaIron,MAT103,Steel Bar
2022-01-16,752.1964919164301,106.51521835136941,365.5185273433921,1020.0945616186946,83.93964594381416,SUP004,DeltaIron,MAT101,Steel Rod
2022-01-17,660.5038154706809,109.2550356171414,383.4803502408286,1052.5876595962534,85.34972152074695,SUP002,BetaMetals,MAT101,Steel Rod
2022-01-18,723.8368784553471,100.24347953273585,329.7843003694289,893.4565365811097,83.33624483228847,SUP002,BetaMetals,MAT100,Steel Coil
