date,steel_price,iron_ore_price,scrap_price,freight_index,fx_rate,supplier_id,supplier_name,material_id,material_name,pct_change,volatility_score,predicted_mean
2023-01-01,712.4957586147725,83.62201254726622,350.0425010279536,990.050264308888,82.12967707966763,SUP001,AlphaSteel,MAT102,Steel Plate,0.0,Normal,712.4957586147725
2023-01-02,602.909971372981,135.84556141945265,345.60262293188254,983.3661554339667,82.07975225398714,SUP003,CoreSteel,MAT101,Steel Rod,-15.38055292495315,High,657.7028649938768
2023-01-03,746.5334602330031,119.48590532569924,344.0658337911558,875.0837740400794,83.01820094458913,SUP005,PrimeSteel,MAT101,Steel Rod,23.821713967170677,High,687.3130634069189
2023-01-04,757.710205035779,81.64828345006394,353.250156972942,941.7952923068683,82.1524501429094,SUP003,CoreSteel,MAT103,Steel Bar,1.497152558880277,Normal,704.9123488141339
2023-01-05,709.3979036757335,95.33957226101658,352.41263790174156,950.9072061881632,82.39232766388444,SUP002,BetaMetals,MAT100,Steel Coil,-6.376092210314665,High,705.8094597864538
2023-01-06,659.203830317485,114.39241997724878,361.12267962085076,914.1595496001872,82.64587960261521,SUP005,PrimeSteel,MAT104,Steel Sheet,-7.075588058291227,High,698.041854874959
2023-01-07,703.6132424179021,110.2461970659518,340.73609964623057,991.7652347207385,82.79299781080101,SUP001,AlphaSteel,MAT104,Steel Sheet,6.736825555007586,High,698.8377673810937
2023-01-08,770.4301115162993,102.7700262449996,388.0817898196149,1164.8696058253795,83.47836273164602,SUP005,PrimeSteel,MAT104,Steel Sheet,9.49624951184649,High,707.1141035098834
2023-01-09,685.6796118542944,107.55509143496514,349.2865108874101,940.8146632101814,83.40264901917098,SUP001,AlphaSteel,MAT103,Steel Bar,-11.000413716333824,High,718.9383378643568
2023-01-10,656.1357424962706,93.82902506428269,343.259561652684,1100.3516000189325,84.30688947910984,SUP004,DeltaIron,MAT104,Steel Sheet,-4.308698821907198,High,706.0243781876807
2023-01-11,693.5072120422275,110.00393123173303,358.3916967056372,1076.8784645591077,81.7202499888197,SUP001,AlphaSteel,MAT101,Steel Rod,5.695691779231082,High,696.8525220457446
2023-01-12,604.6256708912484,127.3333374469193,362.2412940855374,961.9193330071747,82.99444788258018,SUP005,PrimeSteel,MAT103,Steel Bar,-12.816238909649158,High,681.8850602193896
2023-01-13,683.2377526534362,91.9742003348622,359.31525597481635,958.6746967499051,83.71740519803501,SUP001,AlphaSteel,MAT100,Steel Coil,13.001777057581698,High,685.3184776959541
2023-01-14,685.2841721619379,126.49408708846522,359.74258101431195,1109.3204216359559,82.63105779882301,SUP004,DeltaIron,MAT101,Steel Rod,0.29951792045364023,Normal,682.7000390879592
2023-01-15,716.6556617480884,109.49100358763039,395.5027481867227,1152.3414768783762,82.22905808593136,SUP001,AlphaSteel,MAT103,Steel Bar,4.577880368545428,High,675.0179748353577
2023-01-16,688.5506807766659,96.86887589484644,323.6347748205775,938.61269641728,84.09016340927168,SUP005,PrimeSteel,MAT103,Steel Bar,-3.921685472053338,High,675.4281275385537
2023-01-17,775.688765726137,126.79804067463692,321.4601001190735,1103.1068149320542,81.3458006030734,SUP004,DeltaIron,MAT101,Steel Rod,12.65528992741418,High,692.507130857106
2023-01-18,752.7146989880769,121.41125326953143,366.97743210104466,1160.3982573635842,82.84716007473686,SUP005,PrimeSteel,MAT104,Steel Sheet,-2.9617635001525033,Normal,700.9653432779415
2023-01-19,595.3310592476846,112.58729353244965,350.6430089225498,928.9814342834206,80.29987630941497,SUP003,CoreSteel,MAT103,Steel Bar,-20.908803820620648,High,699.6375416145753
2023-01-20,699.9854534365861,106.35425017189175,356.19422994301505,994.4250643931015,83.65883426829119,SUP004,DeltaIron,MAT102,Steel Plate,17.57919271357227,High,702.0300702978823
2023-01-21,732.0445971919819,98.42624784755012,375.2673682169824,1010.1020835429822,82.69943164791778,SUP005,PrimeSteel,MAT102,Steel Plate,4.579972854864489,High,708.7101310164601
2023-01-22,657.898851339256,113.69714851050169,333.82410296157747,1160.3864228924324,81.6824463680505,SUP002,BetaMetals,MAT102,Steel Plate,-10.128583167902383,High,700.3163009580555
2023-01-23,626.1733784884954,92.05615563833483,319.2579129840933,993.3703344368646,81.4728788956056,SUP003,CoreSteel,MAT100,Steel Coil,-4.822241714843923,High,691.405257774031
2023-01-24,608.5659997897219,123.97875834135917,344.6974185352692,1008.7805234881224,81.82223673782052,SUP003,CoreSteel,MAT100,Steel Coil,-2.8119015122098467,Normal,667.5305769259719
2023-01-25,697.7970236197025,119.84134274667778,356.51768608375977,838.1983205711387,83.42093400376335,SUP003,CoreSteel,MAT103,Steel Bar,14.662505605113108,High,659.6851947304897
2023-01-26,776.8727911778302,75.93820629449172,357.5039613615562,1010.1681233648275,83.89748343852544,SUP005,PrimeSteel,MAT100,Steel Coil,11.332201898474104,High,685.6197278633678
2023-01-27,654.517135500941,130.16207035177965,347.7564300424978,964.1339102934446,81.05761646477075,SUP001,AlphaSteel,MAT101,Steel Rod,-15.749767151889015,High,679.1242538725613
2023-01-28,627.1683703438719,77.63627783398009,320.53946900361797,986.4020741438102,83.86990786011717,SUP002,BetaMetals,MAT104,Steel Sheet,-4.1784643477878465,High,664.1419357514027
2023-01-29,684.1435396772034,113.23693853216596,352.3685652563946,950.0616699299792,84.4548725797116,SUP004,DeltaIron,MAT104,Steel Sheet,9.084509364222647,High,667.891176942538
2023-01-30,706.4536844192578,127.17844076226434,331.04026845532763,1017.6408491072009,82.98511527574395,SUP002,BetaMetals,MAT103,Steel Bar,3.261032728976865,High,679.3597920755041
2023-01-31,690.2574669088463,116.15385348988366,393.4495647181499,1000.5867342690425,82.82758832244076,SUP005,PrimeSteel,MAT100,Steel Coil,-2.2926085414538777,Normal,691.0300016639504
2023-02-01,716.8096302605893,82.0495026018361,340.41808353467786,925.1405091740625,81.46995402185456,SUP003,CoreSteel,MAT102,Steel Plate,3.8467042552470465,High,693.7460883269342
2023-02-02,686.484111683608,114.32219778952695,381.72047478605856,910.1539732291506,83.43915657065051,SUP001,AlphaSteel,MAT102,Steel Plate,-4.230623766306918,High,680.8334198277597
2023-02-03,601.2609184068984,145.21479476106006,358.6759191905694,940.4217948539506,83.36182925325772,SUP004,DeltaIron,MAT103,Steel Bar,-12.414445116245876,High,673.2253888143251
2023-02-04,676.12834874889,82.56859500119107,333.2872179123327,1031.258479032685,82.8941963786217,SUP004,DeltaIron,MAT104,Steel Sheet,12.451737348963299,High,680.2196714436133
2023-02-05,677.4784319793002,90.98172869315759,353.82559504507253,1099.0775156718564,82.3030448582986,SUP002,BetaMetals,MAT102,Steel Plate,0.1996785422336611,Normal,679.2675132010556
2023-02-06,658.6011456702821,102.28294618550694,346.6642539417121,886.0755747480034,82.44943582576308,SUP003,CoreSteel,MAT103,Steel Bar,-2.7864040267476575,Normal,672.4314362369163
2023-02-07,687.6397519310683,86.78962783618285,316.8608877028317,935.109060236471,83.20965340620101,SUP004,DeltaIron,MAT104,Steel Sheet,4.409133881969263,High,672.0574769543766
2023-02-08,614.6649194900673,91.2277870839974,322.9326954314067,994.0701665061132,84.37232971733702,SUP002,BetaMetals,MAT103,Steel Bar,-10.61236384837686,High,657.4653754157306
2023-02-09,740.3909220159616,128.1676643668642,344.7050969568229,800.8900525981275,82.52819254273999,SUP003,CoreSteel,MAT102,Steel Plate,20.45439694690856,High,665.1663483203525
2023-02-10,585.9392262847265,147.48471797451094,365.14545203904396,994.5855740902919,84.35624805197737,SUP003,CoreSteel,MAT103,Steel Bar,-20.860830561062084,High,662.9775351600422
2023-02-11,693.2313776519609,119.32717729669064,317.35438779175473,1023.5139542062665,81.92965724992841,SUP001,AlphaSteel,MAT103,Steel Bar,18.311139885196503,High,665.4208250033381
2023-02-12,668.7077212574203,132.01503735384176,386.82271678779784,1070.1789030890075,83.30469545515408,SUP005,PrimeSteel,MAT100,Steel Coil,-3.5375860333391795,High,664.1678663287838
2023-02-13,621.9231421065615,106.30393590568046,357.77959848089193,997.481745615186,83.74342719944096,SUP005,PrimeSteel,MAT103,Steel Bar,-6.9962672276142275,High,658.9281515339666
2023-02-14,735.5803295515456,116.89105678866136,326.472587906537,949.9205411415742,83.46010723991705,SUP004,DeltaIron,MAT102,Steel Plate,18.27511789640235,High,665.7768054797491
2023-02-15,662.3684011588201,99.0807335067842,343.992636998501,1150.4108863504334,81.58946699364886,SUP004,DeltaIron,MAT102,Steel Plate,-9.952948094378744,High,672.5915885752853
2023-02-16,776.8984250276745,101.39864907202735,337.19893998183807,1156.0761462588196,83.25711268409403,SUP004,DeltaIron,MAT104,Steel Sheet,17.290985449861896,High,677.806946148387
2023-02-17,726.5110380296504,121.1583146075827,359.6788912922036,1001.2877831024723,85.03325802959262,SUP002,BetaMetals,MAT102,Steel Plate,-6.485711049836307,High,697.888633540519
2023-02-18,620.7476151225637,137.5643865217279,351.15041684871005,961.2986015392812,83.67328104687262,SUP002,BetaMetals,MAT103,Steel Bar,-14.557717277623839,High,687.5338103220338
2023-02-19,663.8466511370549,133.30803869399966,380.4393861047386,1035.8411988251653,83.09237255426319,SUP003,CoreSteel,MAT101,Steel Rod,6.943085235370816,High,686.8393717334101
2023-02-20,786.4846391783137,83.17699786614253,326.00573805963495,1033.7965725477734,82.34561650819728,SUP002,BetaMetals,MAT102,Steel Plate,18.473842992384014,High,710.3481570293746
2023-02-21,675.9742046146617,125.96503186177183,321.9022032683757,880.137727692371,82.53107932499469,SUP002,BetaMetals,MAT100,Steel Coil,-14.051187913740904,High,701.8329963241057
