date,steel_price,iron_ore_price,scrap_price,freight_index,fx_rate,pct_change,volatility_score,predicted_mean,lower_ci,upper_ci
2022-01-01,651.2117441134352,111.86746164536264,367.4502628646217,942.7093813783822,84.80268351260507,,Normal,,,
2022-01-02,685.5730462340127,105.259862817377,389.0253280242808,954.741628432474,83.3203764231415,5.276517573766615,High,,,
2022-01-03,719.1816193690269,113.42097034046324,357.4004373864023,954.9875647353988,83.51421213107953,4.902259988141688,High,,,
2022-01-04,682.5756485989625,107.78193852951638,391.9904083202206,915.7709425811564,82.8830513568221,-5.089948044303549,High,,,
2022-01-05,679.4573264458179,112.19417180732611,348.9179115011579,991.7087187722271,83.0714764916424,-0.45684638172269754,Normal,,,
2022-01-06,669.511965333782,114.93806535570988,357.8666921665351,1016.9147966552182,84.1504170996312,-1.4637212264763222,Normal,,,
2022-01-07,655.3744494500446,118.07342461617104,360.2059017272276,1035.2229533974091,82.96639041352879,-2.111615119035126,Normal,,,
2022-01-08,729.9950536367971,112.3202840690462,353.27421356392347,871.1678057482393,81.31693696198494,11.385949551339714,High,,,
2022-01-09,718.1172537387803,107.72668962709147,362.77923485353466,980.078759471156,84.00973810546108,-1.6271069014566986,Normal,,,
2022-01-10,715.1346462220241,126.8226989994172,367.4778923860047,1018.6650484099788,83.44984540180583,-0.41533711956196484,Normal,,,
2022-01-11,743.1284479522233,96.62458116066452,351.3107736884909,915.7454230509996,82.23077185431211,3.9144798644684897,High,,,
2022-01-12,701.6834792029205,113.43108477716832,335.1907384410766,1018.3802851256224,83.91683406623073,-5.577093551391988,High,,,
2022-01-13,709.4887262697556,110.17264490949572,343.1283549657452,1106.191684226371,81.75600876291527,1.1123601022645646,Normal,,,
2022-01-14,669.531711837039,118.73817340370952,304.79667671925824,1143.8081975030864,81.97822026469856,-5.631803995363915,High,,,
2022-01-15,692.2439274082337,108.0447698228052,385.6903701488045,1029.3011608940958,83.39290772388473,3.3922538947225744,High,,,
2022-01-16,682.1968503124464,111.8977575346086,363.77829632404615,984.2985677164016,81.51900193341817,-1.451378148365079,Normal,,,
2022-01-17,654.5101309528426,97.19372733718065,358.6710742575809,1032.5386787148675,83.35424686118576,-4.058464847341825,High,,,
2022-01-18,664.5754817084375,119.66183716378856,341.658622616708,845.5175217546526,83.40279130007777,1.5378449132546823,Normal,,,
2022-01-19,820.9926840599875,107.31163810370585,341.3072306438224,1014.134676691781,83.81891244350105,23.53640882890311,High,,,
2022-01-20,665.2390105026233,98.78221524023505,366.9319223061019,1042.4193108301668,83.45601805504846,-18.971383860222534,High,,,
2022-01-21,739.5468926797345,112.36796438315515,332.1267000656255,937.8004580061144,82.34358025992749,11.170102926009662,High,,,
2022-01-22,710.3256746667842,123.65456050180468,335.5702140759021,1105.789865011846,83.79404986016948,-3.9512326131298847,High,,,
2022-01-23,737.953888675167,96.1668192225297,331.87854990187634,1114.9252759481135,82.9568657272498,3.8895136405344477,High,,,
2022-01-24,627.4810953631963,108.0754608300576,358.7845445983307,1066.4792357395197,83.07350402132208,-14.970148542790406,High,,,
2022-01-25,691.4344659507092,108.03449243502924,303.77000680018733,972.5658534007432,83.59124551934383,10.192079261048592,High,,,
2022-01-26,754.34133752985,125.47716258828072,354.5274075694271,994.5389224340752,82.63653904286156,9.098023699562763,High,,,
2022-01-27,699.4587638986571,124.72361616853308,347.088062723815,1060.130100327034,83.93706173427857,-7.275562255531442,High,,,
2022-01-28,685.1127461063131,111.750149820242,343.86636147428715,989.3186296660635,83.53042455024251,-2.051016948073092,Normal,,,
2022-01-29,687.1713214592808,110.7460794434569,353.1105722461012,1009.628094853456,85.607418586605,0.3004724937124781,Normal,,,
2022-01-30,668.7686571156036,108.6295436633039,369.4335745497683,851.9899834541009,82.57466511479798,-2.678031484870058,Normal,,,
2022-01-31,650.5291404091047,125.33605212297302,359.5751446612298,985.8249185563,84.474619005427,-2.72732827898452,Normal,,,
2022-02-01,646.4232790205745,104.29685266615132,347.1688146306673,965.419529903744,83.43045229312213,-0.6311571816672412,Normal,,,
